category,category_desc,category_image,item_name,description,veg/non-veg,price,old_price,total_stock,offer_text,item_image,item_image_compressed,sub_category,customization_type,customization_item_limit,customization_item_lower_limit,customization_subtype,customization_price,customize_option_limit,checkbox_flag,external_item_id
"MENU","","","TACO MIXTO","Carne, pollo, queso, salsa, lechuga, tomate","Non-Veg","25","25","50","","https://jugnoo-menus.s3-ap-south-1.amazonaws.com/images/item_image_R4waCIDVBB5w.jpg","https://jugnoo-menus.s3-ap-south-1.amazonaws.com/images/item_image_R4waCIDVBB5w_200x200.jpg","TACOS MEXICANOS","","null","null","","","null","","null"
"MENU","","","TACO PICANTE","Carne molida, salsa, queso, ensalada pico de gallo, lechuga","Non-Veg","25","25","50","","https://jugnoo-menus.s3-ap-south-1.amazonaws.com/images/item_image_3qstaY2fgpE3.jpg","https://jugnoo-menus.s3-ap-south-1.amazonaws.com/images/item_image_3qstaY2fgpE3_200x200.jpg","TACOS MEXICANOS","","null","null","","","null","","null"
"MENU","","","LOMITO","Carne, salsa, queso, huevo, lechuga, tomate","Non-Veg","15","15","50","","https://jugnoo-menus.s3-ap-south-1.amazonaws.com/images/item_image_NZJD0JMQuwFP.jpg","https://jugnoo-menus.s3-ap-south-1.amazonaws.com/images/item_image_NZJD0JMQuwFP_200x200.jpg","LOMOS","","null","null","","","null","","null"
"MENU","","","ENSALADA DE FRUTAS","kiwi,durazno,frutilla,uva,papaya,chia,avena,yogurt","Non-Veg","12","12","50","","","","ENSALADA DE FRUTAS","","null","null","","","null","","null"
"MENU","","","TACO MEXICANO LOMO DE ATÚN","Lomitos de atum, salsa, queso, choclo, lechuga, tomate","Non-Veg","30","30","50","","https://jugnoo-menus.s3-ap-south-1.amazonaws.com/images/item_image_mHiHbV0b5XU5.jpg","https://jugnoo-menus.s3-ap-south-1.amazonaws.com/images/item_image_mHiHbV0b5XU5_200x200.jpg","TACOS MEXICANOS","","null","null","","","null","","null"
"MENU","","","TACO BURGUER","Carne de hamburguesa de res, salsa, queso, lechuga, tomate, choclo","Non-Veg","25","25","50","","https://jugnoo-menus.s3-ap-south-1.amazonaws.com/images/item_image_YIbArOT67o3H.jpg","https://jugnoo-menus.s3-ap-south-1.amazonaws.com/images/item_image_YIbArOT67o3H_200x200.jpg","TACOS MEXICANOS","","null","null","","","null","","null"
"MENU","","","ENSALADA MEXICANA","Carne molida, ensalada pico de gallo, queso, nachos, salsa picante, lechuga","Non-Veg","30","30","50","","https://jugnoo-menus.s3-ap-south-1.amazonaws.com/images/item_image_WM62xk8Bg8sc.jpg","https://jugnoo-menus.s3-ap-south-1.amazonaws.com/images/item_image_WM62xk8Bg8sc_200x200.jpg","TACOS MEXICANOS","","null","null","","","null","","null"
"MENU","","","HAMBURGUESA SIMPLE SIN PAPA","Carne, salsa, queso, huevo, choclo, lechuga, tomate","Non-Veg","20","20","50","","https://jugnoo-menus.s3-ap-south-1.amazonaws.com/images/item_image_K3gJhujaH6HT.jpg","https://jugnoo-menus.s3-ap-south-1.amazonaws.com/images/item_image_K3gJhujaH6HT_200x200.jpg","HAMBURGUESA","","null","null","","","null","","null"
"MENU","","","HAMBURGUESA MEXICANA","Carne, salsa picante, queso, ensalada pico de gallo, choclo, lechuga, tomate","Non-Veg","25","25","50","","https://jugnoo-menus.s3-ap-south-1.amazonaws.com/images/item_image_sAiCxdQCqqO3.jpg","https://jugnoo-menus.s3-ap-south-1.amazonaws.com/images/item_image_sAiCxdQCqqO3_200x200.jpg","HAMBURGUESA","","null","null","","","null","","null"
"BEBIDAS","","","COCA COLA","500 ml","Non-Veg","6","6","50","","https://i.ibb.co/VJRNfWD/coca-cola-500ml.jpg","https://i.ibb.co/VJRNfWD/coca-cola-500ml.jpg","","","null","null","","","null","","null"
"BEBIDAS","","","FANTA PAPAYA","500ML","Non-Veg","6","6","50","","https://i.ibb.co/TR3WPWk/fanta-papaya-500ml.jpg","https://i.ibb.co/TR3WPWk/fanta-papaya-500ml.jpg","","","null","null","","","null","","null"
"BEBIDAS","","","AGUA SIN GAS VITAL","800ml","Non-Veg","6","6","50","","","","","","null","null","","","null","","null"
"BEBIDAS","","","POWER MORA","990ml","Non-Veg","10","10","50","","","","","","null","null","","","null","","null"
"BEBIDAS","","","NECTAR FRUSH DELIZIA MANZANA","600ml","Non-Veg","6","6","50","","","","","","null","null","","","null","","null"
"BEBIDAS","","","NECTAR FRUSH DELIZIA TAMARINDO","600ml","Non-Veg","6","6","50","","","","","","null","null","","","null","","null"
